Name,Total,White,Black,Hispanic,Asian,Other,p_White,p_Black,p_Hispanic,p_Asian,p_Other,entropy5,entropy4,entropy_rice,gini_simpson
"Alexandria, LA Metro Area",153922,98984,45378,4349,1598,3613,0.643078962072,0.294811657853,0.0282545704967,0.0103818817323,0.0234729278466,0.546935889821,0.568046971264,0.546935889821,0.498078452371
"Alexandria, MN Micro Area",36009,34974,146,341,163,385,0.971257185704,0.00405454192008,0.00946985475853,0.00452664611625,0.0106917715016,0.104222729058,0.0791728207001,0.104222729058,0.0564185572569
"Alice, TX Micro Area",40838,8062,156,32254,134,232,0.197414173074,0.00381997159508,0.789803614281,0.00328125765219,0.00568098339782,0.357935434802,0.392504626711,0.357935434802,0.337180262731
"Allegan, MI Micro Area",111408,99945,1264,7454,620,2125,0.897107927617,0.0113456843315,0.0669072238977,0.00556512997271,0.0190740341807,0.26940016703,0.249416553677,0.26940016703,0.190197275592
"Allentown-Bethlehem-Easton, PA-NJ Metro Area (part)",821173,645741,34917,106598,20167,13750,1.63271274505,0.077013595106,0.209330625094,0.0489043638745,0.0320386708762,0.464637733305,0.486194582368,-0.0110559012579,-1.71891942552
"Alma, MI Micro Area",42476,37144,2341,2301,145,545,0.874470289104,0.0551134758452,0.0541717675864,0.00341369243808,0.0128307750259,0.317042249458,0.322703488803,0.317042249458,0.229153355767
"Alpena, MI Micro Area",29598,28623,78,304,148,445,0.96705858504,0.00263531319684,0.0102709642543,0.00500033786067,0.0150347996486,0.11474075601,0.0780987213284,0.11474075601,0.0644342069398
"Altoona, PA Metro Area",127089,121495,2051,1230,689,1624,0.955983602043,0.0161382967841,0.00967825696953,0.00542139760325,0.0127784466004,0.148197641182,0.124292713953,0.148197641182,0.085548559095
"Altus, OK Micro Area",26446,17403,1918,5538,303,1284,0.658057929365,0.0725251455797,0.209407849958,0.0114573092339,0.0485517658625,0.615834900516,0.604190275221,0.615834900516,0.51535967333
"Amarillo, TX Metro Area",249881,160881,14570,63116,6319,4995,0.643830463301,0.0583077544911,0.252584230094,0.0252880371057,0.0199895150091,0.601431372244,0.64034964486,0.601431372244,0.51724468147
"Americus, GA Micro Area",37829,17025,18061,1878,454,411,0.450051547754,0.477437944434,0.0496444526686,0.0120013746068,0.0108646805361,0.598709236375,0.659003549331,0.598709236375,0.566779967622
"Ames, IA Metro Area",89542,77812,2125,2695,5369,1541,0.869000022336,0.0237318800116,0.0300976078265,0.0599606888388,0.0172098009872,0.344768274931,0.343437149484,0.344768274931,0.239478431598
"Amsterdam, NY Micro Area",50219,42732,712,5654,356,765,0.850913001055,0.0141779007945,0.112586869512,0.00708895039726,0.0152332782413,0.337034563038,0.339574651434,0.337034563038,0.262787942594
"Anchorage, AK Metro Area",380821,256490,16125,25362,24283,58561,0.673518529703,0.0423427279483,0.0665982180605,0.0637648659081,0.15377565838,0.648630956683,0.524013319848,0.648630956683,0.512431649653
"Anderson, IN Metro Area",131636,113577,10887,4189,547,2436,0.862811085113,0.082705338965,0.0318226017199,0.00415539821933,0.0185055759823,0.335386935176,0.328977334714,0.335386935176,0.247344456655
"Anderson, SC Metro Area",187126,147362,29810,5447,1384,3123,0.787501469598,0.159304425895,0.0291087288779,0.00739608605966,0.0166892895696,0.427669936491,0.44268519331,0.427669936491,0.353282982699
"Andrews, TX Micro Area",14786,7083,199,7195,85,224,0.479034221561,0.013458677127,0.486608954416,0.0057486811849,0.0151494657108,0.53072809854,0.56813215964,0.53072809854,0.533294250419
"Angola, IN Micro Area",34185,32513,155,982,162,373,0.951089659207,0.00453415240603,0.0287260494369,0.0047389205792,0.0109112183706,0.154585682001,0.13758202253,0.154585682001,0.0944412036401
"Ann Arbor, MI Metro Area",344791,248675,43152,13860,27005,12099,0.72123402293,0.125154078848,0.0401982650359,0.0783228100501,0.0350908231363,0.585305928833,0.590587258934,0.585305928833,0.455176211762
"Anniston-Oxford, AL Metro Area",118572,87285,24177,3893,830,2387,0.736135006578,0.203901426981,0.0328323718922,0.00699996626522,0.0201312282832,0.481694780525,0.498170751737,0.481694780525,0.414997229641
"Appleton, WI Metro Area",225666,203691,1918,8049,6235,5773,0.902621573476,0.00849928655624,0.0356677567733,0.0276293282993,0.0255820548953,0.276391728095,0.241187237134,0.276391728095,0.182512047036
"Arcadia, FL Micro Area",34862,19549,4338,10425,169,381,0.560753829384,0.124433480581,0.299036199874,0.00484768515863,0.0109288050026,0.633690229416,0.699895849102,0.633690229416,0.580505864076
"Ardmore, OK Micro Area",56980,41684,3297,3641,547,7811,0.731554931555,0.0578624078624,0.0638996138996,0.00959985959986,0.137083187083,0.550702702013,0.406843044205,0.550702702013,0.438512205732
"Arkadelphia, AR Micro Area",22995,16177,5366,926,120,406,0.703500761035,0.233355077191,0.0402696238313,0.00521852576647,0.0176560121766,0.506412033982,0.533307602157,0.506412033982,0.448671476792
"Asheville, NC Metro Area",424858,366448,18976,27100,3664,8670,0.862518770978,0.0446643349072,0.0637860179166,0.00862405792053,0.0204068182781,0.349422545653,0.340761542662,0.349422545653,0.24950699821
"Ashland, OH Micro Area",53139,51352,395,501,275,616,0.966371215115,0.00743333521519,0.00942810365268,0.00517510679539,0.0115922392217,0.119532045287,0.0942788441952,0.119532045287,0.0658213692456
"Ashtabula, OH Micro Area",101497,92126,3467,3441,372,2091,0.907672147945,0.0341586450831,0.0339024798763,0.00366513295959,0.0206015941358,0.260058887579,0.234344321185,0.260058887579,0.173377221788
"Astoria, OR Micro Area",37039,32295,163,2838,445,1298,0.871918788304,0.00440076675936,0.0766219390372,0.0120143632387,0.0350441426604,0.31736304256,0.268305150326,0.31736304256,0.232494901453
"Atchison, KS Micro Area",16924,15152,844,383,70,475,0.895296620184,0.0498700070905,0.0226305837863,0.00413613802883,0.02806665091,0.284116582705,0.244408074463,0.284116582705,0.194639956426
"Athens, OH Micro Area",64757,58779,1741,1002,1741,1494,0.907685655605,0.0268851243881,0.0154732306932,0.0268851243881,0.0230708649258,0.269547273973,0.239279238288,0.269547273973,0.173889445106
"Athens, TN Micro Area",52266,47273,2021,1482,385,1105,0.904469444763,0.0386675850457,0.0283549535071,0.00736616538476,0.0211418512991,0.27048331975,0.245305322871,0.27048331975,0.179134599699
"Athens, TX Micro Area",78532,63494,4813,8490,318,1417,0.808511180156,0.0612871186268,0.108108796414,0.00404930474202,0.0180436000611,0.421411929307,0.431881635627,0.421411929307,0.330524080419
"Athens-Clarke County, GA Metro Area",192541,130515,37182,15313,6065,3466,0.677855625555,0.19311211638,0.0795311128539,0.0314997844615,0.0180013607491,0.59878793706,0.641689197118,0.59878793706,0.495577978089
"Atlanta-Sandy Springs-Marietta, GA Metro Area",5268860,2671757,1679979,547400,252510,117214,0.507084454702,0.318850567295,0.103893441845,0.0479249780787,0.022246558079,0.72964862064,0.787681507933,0.72964862064,0.627614111407
"Atlantic City-Hammonton, NJ Metro Area",274549,160871,40882,46241,20419,6136,0.585946406652,0.148906024061,0.168425308415,0.0743728806151,0.0223493802563,0.730078251617,0.787987711383,0.730078251617,0.600095899846
"Auburn, IN Micro Area",42223,40406,141,1031,186,459,0.956966582195,0.00333941216872,0.0244179712479,0.00440518200981,0.010870852379,0.139699492339,0.120236870019,0.139699492339,0.0834699905094
"Auburn, NY Micro Area",80026,73098,3009,1896,387,1636,0.913428135856,0.037600279909,0.0236923000025,0.00483592832329,0.0204433559093,0.248564748396,0.221134122483,0.248564748396,0.163232617495
"Auburn-Opelika, AL Metro Area",140247,97900,31674,4571,3615,2487,0.698054147326,0.225844403089,0.0325924975222,0.0257759524268,0.0177329996364,0.537047947977,0.569331605046,0.537047947977,0.4596735831
"Augusta-Richmond County, GA-SC Metro Area (part)",556877,314669,194573,24712,9558,13365,1.17778540625,0.655559366083,0.0912239208483,0.0295759521492,0.0458553546731,0.613551178369,0.646145760713,0.340486488263,-0.828235799859
"Augusta-Waterville, ME Micro Area",122151,116549,642,1504,886,2570,0.954138729933,0.00525578996488,0.0123126294504,0.00725331761508,0.021039533037,0.151289509147,0.104215268448,0.151289509147,0.0889447873036
"Austin, MN Micro Area",39163,32975,791,4138,636,623,0.841993718561,0.0201976355233,0.105660955494,0.0162398181957,0.0159078722263,0.369001363458,0.375469156211,0.369001363458,0.278957603814
"Austin-Round Rock-San Marcos, TX Metro Area",1716289,938474,120510,538313,80980,38012,0.546804180415,0.0702154473984,0.313649391216,0.0471831958371,0.0221477851341,0.68889223974,0.739489368551,0.68889223974,0.594982260262
"Bainbridge, GA Micro Area",27842,14615,11366,1404,138,319,0.524926370232,0.408232167229,0.0504274118239,0.00495654047841,0.0114575102363,0.579210862223,0.634559635674,0.579210862223,0.555100037777
"Bakersfield-Delano, CA Metro Area",839631,323794,45377,413033,33100,24327,0.385638453082,0.0540439788431,0.491922046709,0.0394220794611,0.0289734419048,0.686088357012,0.722858976711,0.686088357012,0.603981371132
"Baltimore-Towson, MD Metro Area",2710489,1626199,769641,123754,122153,68742,0.599965172336,0.283949132426,0.0456574440996,0.0450667757737,0.0253614753648,0.644821135411,0.680591137937,0.644821135411,0.554655861265
"Bangor, ME Metro Area",153923,145700,1117,1620,1405,4081,0.946577184696,0.00725687519084,0.0105247428909,0.00912794059367,0.0265132566283,0.170718152582,0.112894525566,0.170718152582,0.103041928886
"Baraboo, WI Micro Area",61976,57331,330,2675,332,1308,0.92505163289,0.00532464179682,0.0431618691106,0.00535691235317,0.0211049438492,0.214381614252,0.178864094655,0.214381614252,0.141914062567
"Barnstable Town, MA Metro Area",215888,197327,3857,4687,2263,7754,0.914024864745,0.0178657452012,0.0217103312829,0.0104822871118,0.0359167716594,0.2513198291,0.186861357014,0.2513198291,0.162368130463
"Barre, VT Micro Area",59534,56473,411,995,495,1160,0.948584002419,0.00690361810058,0.0167131387107,0.0083145765445,0.0194846642255,0.167363987636,0.127519637574,0.167363987636,0.0994126170836
